id_student,gender,Category(Mentor/Mentee/Both),Area,Degree,Course,Time zone,Availability time start,Availability time end
11391,M,1,IT,Undergraduate,,Asia,9:00,14:00
28400,F,3,IT,Graduate,,Pacific,16:00,18:00
30268,F,2,IT,PhD,,Europe,12:00,15:00
31604,F,1,IT,PhD,,Central,14:00,23:00
32885,F,3,IT,Undergraduate,,Europe,20:00,23:00
38053,M,3,IT,Undergraduate,,Pacific,10:00,19:00
45462,M,1,Math,PhD,,North America,20:00,23:00
45642,F,1,Math,Undergraduate,,Pacific,13:00,23:00
52130,F,1,Math,Undergraduate,,Australia,16:00,18:00
53025,M,3,IT,Undergraduate,,Central,19:00,23:00
57506,M,3,Math,Graduate,,Antarctica,13:00,18:00
58873,F,3,Math,MS,,Australia,20:00,23:00
59185,M,2,IT,Graduate,,Pacific,12:00,23:00
62155,F,2,Math,MS,,Europe,10:00,23:00
63400,M,2,Math,PhD,,North America,15:00,23:00
65002,F,1,IT,MS,,Europe,11:00,13:00
70464,F,2,IT,MS,,Antarctica,20:00,23:00
71361,M,1,Math,Undergraduate,,Central,16:00,23:00
74372,M,3,IT,Graduate,,Africa,16:00,18:00
75091,M,2,IT,Graduate,,Asia,17:00,23:00
77367,M,3,IT,PhD,,Australia,15:00,23:00
91265,M,1,IT,MS,,Asia,19:00,23:00
94961,M,1,IT,MS,,Africa,14:00,23:00
98094,M,3,IT,PhD,,Pacific,11:00,16:00
100893,M,1,IT,MS,,Central,19:00,23:00
101781,M,2,IT,Graduate,,Pacific,15:00,19:00
102806,M,2,IT,PhD,,Europe,12:00,23:00
102952,M,2,Arabic,PhD,,Africa,14:00,18:00
104476,M,1,Science,Undergraduate,,Antarctica,16:00,18:00
106247,M,2,Arabic,Undergraduate,,Europe,17:00,23:00
106577,M,2,Arabic,MS,,Central,18:00,23:00
110175,M,2,IT,Graduate,,Africa,14:00,19:00
111717,F,2,IT,PhD,,Pacific,12:00,20:00
113295,M,1,English,Graduate,,Central,16:00,23:00
114017,F,3,Science,MS,,Antarctica,13:00,16:00
114999,M,1,English,Undergraduate,,Asia,19:00,20:00
116541,M,2,Science,Graduate,,North America,12:00,23:00
116692,M,1,IT,PhD,,Antarctica,10:00,19:00
118983,M,1,IT,Graduate,,Antarctica,20:00,23:00
123044,M,2,Science,MS,,Asia,16:00,23:00
127582,F,3,IT,Graduate,,Australia,15:00,23:00
129955,M,1,IT,PhD,,Europe,18:00,23:00
132976,F,2,IT,PhD,,Africa,20:00,23:00
134143,F,1,IT,MS,,Pacific,20:00,23:00
135335,F,3,IT,Undergraduate,,North America,11:00,19:00
135400,F,3,Quran,Graduate,,Asia,13:00,14:00
137873,M,2,English,PhD,,Antarctica,17:00,18:00
141355,F,3,English,PhD,,North America,17:00,23:00
141377,M,2,English,Graduate,,Africa,11:00,19:00
142326,F,3,English,Graduate,,North America,16:00,23:00
144801,F,2,English,MS,,Asia,10:00,15:00
145130,M,3,English,Undergraduate,,Africa,17:00,20:00
146188,F,3,English,MS,,North America,13:00,14:00
147756,M,2,Science,PhD,,Australia,17:00,23:00
147793,F,3,English,Undergraduate,,Australia,19:00,23:00
148993,F,3,Math,PhD,,North America,17:00,23:00
151358,F,1,Math,Undergraduate,,Asia,13:00,23:00
155550,M,2,Math,PhD,,Europe,15:00,20:00
155854,F,2,Math,PhD,,Africa,19:00,23:00
155984,F,2,Math,MS,,Central,10:00,23:00
157568,F,3,English,PhD,,North America,20:00,23:00
159954,M,1,IT,MS,,Asia,18:00,23:00
164259,M,1,IT,Graduate,,Central,9:00,19:00
167906,F,2,IT,Graduate,,Australia,15:00,23:00
168936,F,1,IT,Undergraduate,,Europe,17:00,19:00
172112,M,1,English,PhD,,Central,14:00,23:00
172797,F,2,English,Graduate,,Pacific,11:00,23:00
174782,M,2,English,PhD,,Africa,17:00,19:00
175392,M,3,IT,Undergraduate,,Antarctica,14:00,16:00
175932,M,2,IT,Undergraduate,,Australia,20:00,23:00
175991,F,2,IT,Graduate,,Central,16:00,19:00
180753,M,1,IT,Undergraduate,,Pacific,13:00,16:00
181316,F,2,Math,Graduate,,Africa,15:00,23:00
183096,F,3,English,Undergraduate,,Central,12:00,23:00
183947,M,2,IT,MS,,Central,16:00,18:00
184271,M,3,Quran,PhD,,Australia,11:00,16:00
185439,M,1,IT,PhD,,Central,18:00,23:00
186149,M,3,IT,Graduate,,Pacific,13:00,19:00
187100,M,1,Quran,PhD,,Australia,9:00,15:00
188278,M,2,Math,Undergraduate,,Australia,12:00,17:00
189879,M,3,Math,PhD,,Australia,18:00,23:00
192183,F,3,IT,Undergraduate,,Africa,15:00,19:00
195262,M,2,IT,MS,,Africa,19:00,23:00
200860,M,1,IT,PhD,,Antarctica,17:00,23:00
202635,F,3,IT,Graduate,,Africa,16:00,23:00
205350,M,2,IT,PhD,,Africa,18:00,23:00
205719,M,2,IT,MS,,Asia,16:00,23:00
227499,F,2,IT,Undergraduate,,Central,16:00,23:00
227517,M,2,IT,PhD,,Asia,14:00,23:00
228082,M,1,IT,MS,,North America,16:00,23:00
228222,M,2,IT,Undergraduate,,Europe,15:00,23:00
229179,M,2,IT,MS,,Antarctica,11:00,16:00
229361,M,2,IT,PhD,,North America,13:00,19:00
231554,M,3,IT,MS,,Pacific,12:00,15:00
235507,M,3,IT,PhD,,North America,13:00,23:00
236284,M,1,IT,PhD,,Central,16:00,20:00
238007,M,3,IT,Undergraduate,,Australia,16:00,23:00
240712,M,3,IT,Undergraduate,,Central,20:00,23:00
240884,M,2,IT,MS,,Asia,11:00,23:00
241649,M,2,IT,MS,,Antarctica,10:00,16:00
241729,F,3,IT,PhD,,Africa,15:00,23:00
242793,M,1,IT,MS,,Pacific,15:00,18:00
246834,M,3,IT,Undergraduate,,Africa,16:00,18:00
248270,M,1,IT,MS,,Asia,17:00,23:00
255548,M,1,IT,PhD,,Asia,19:00,23:00
256815,M,2,IT,PhD,,Pacific,12:00,13:00
258392,F,1,IT,MS,,North America,20:00,23:00
258894,F,1,IT,PhD,,Pacific,10:00,13:00
260355,F,2,IT,Graduate,,Asia,11:00,20:00
262011,M,1,IT,Graduate,,Central,10:00,13:00
262934,F,3,IT,MS,,Europe,17:00,19:00
268073,M,1,IT,PhD,,North America,9:00,23:00
268733,M,2,IT,Undergraduate,,Africa,17:00,23:00
271251,M,2,IT,MS,,Pacific,9:00,12:00
277880,F,1,IT,MS,,Africa,13:00,23:00
279572,M,2,IT,Graduate,,Australia,15:00,23:00
281022,F,2,IT,Undergraduate,,Africa,16:00,20:00
281250,M,1,IT,PhD,,Australia,15:00,17:00
281589,M,1,IT,Undergraduate,,Europe,17:00,18:00
282821,M,2,IT,PhD,,Pacific,19:00,23:00
286488,M,2,IT,PhD,,Antarctica,20:00,23:00
287548,M,3,IT,Graduate,,Africa,18:00,19:00
290201,M,2,IT,MS,,North America,10:00,11:00
290757,M,3,IT,Undergraduate,,Pacific,12:00,17:00
291334,M,2,IT,MS,,Central,19:00,23:00
292923,F,3,IT,MS,,Australia,13:00,18:00
293699,M,2,IT,Graduate,,North America,17:00,23:00
294570,M,2,IT,MS,,Africa,15:00,18:00
294594,M,1,IT,PhD,,Africa,17:00,23:00
295741,M,1,IT,PhD,,Africa,9:00,20:00
296332,M,3,IT,Graduate,,Africa,13:00,17:00
298696,F,1,IT,Undergraduate,,Antarctica,18:00,23:00
300398,M,3,IT,Graduate,,Africa,9:00,23:00
302302,F,3,IT,MS,,Asia,10:00,13:00
305152,M,1,Quran,Graduate,,Australia,13:00,23:00
305386,M,2,Quran,Graduate,,North America,15:00,19:00
305539,F,1,Quran,Undergraduate,,North America,20:00,23:00
306107,M,1,Quran,PhD,,Europe,15:00,23:00
306466,M,2,Quran,Undergraduate,,Asia,16:00,18:00
306897,F,1,Quran,MS,,Europe,12:00,17:00
307061,F,3,Quran,Undergraduate,,Antarctica,11:00,23:00
307866,M,2,Quran,PhD,,Asia,17:00,23:00
311917,M,1,Quran,MS,,Africa,20:00,23:00
312537,M,1,Quran,Graduate,,Pacific,16:00,18:00
312782,M,3,Quran,PhD,,Pacific,16:00,23:00
318933,F,3,Quran,MS,,Antarctica,12:00,15:00
319047,F,3,Quran,PhD,,Australia,9:00,19:00
321942,M,3,Quran,MS,,Africa,10:00,14:00
324002,M,1,Quran,Undergraduate,,Pacific,16:00,23:00
324084,F,3,Quran,Graduate,,Antarctica,13:00,14:00
324282,M,2,Quran,Undergraduate,,Asia,15:00,19:00
331358,F,1,Science,Graduate,,Central,12:00,19:00
332789,F,3,Science,Graduate,,Africa,15:00,23:00
333059,M,1,Spanish,Undergraduate,,Antarctica,14:00,17:00
333323,M,2,English,Graduate,,Africa,18:00,23:00
334259,F,1,Math,Graduate,,Australia,19:00,23:00
334333,F,3,French,Undergraduate,,Australia,13:00,17:00
335764,F,2,Science,Graduate,,Asia,10:00,14:00
336207,M,2,Science,Graduate,,Asia,16:00,18:00
339972,M,1,Science,PhD,,Europe,17:00,23:00
341872,M,2,Science,PhD,,Central,19:00,23:00
342007,F,2,Science,MS,,Central,17:00,23:00
342514,M,2,French,MS,,Australia,20:00,23:00
342972,M,1,French,PhD,,Antarctica,10:00,15:00
343446,M,2,French,PhD,,Asia,16:00,23:00
344282,M,1,French,Undergraduate,,Europe,12:00,14:00
345068,M,1,French,Graduate,,North America,20:00,23:00
